SC-1										
	s^考	s^(而-2)*(P≡s)								
11	31.43282426	1.10168916	1.112249747	1.123000763	1.133142357	1.143596387	1.154422138	1.164112885	1.174525933	1.185632101
12	43.00403122	1.081205378	1.09572378	1.110535908	1.124756779	1.139390256	1.154179929	1.168225863	1.18245451	1.197584643
13	58.8348882	1.052800134	1.073055921	1.09330792	1.113017755	1.133460365	1.153779063	1.173480133	1.193216973	1.21372096
14	80.49347866	1.014151023	1.042150704	1.069789645	1.096816124	1.124891892	1.153012601	1.180573245	1.207728283	1.235758054
15	110.1251367	0.961966399	0.999763083	1.037361745	1.075236692	1.113500331	1.151861637	1.190002608	1.228082625	1.266021057
16	150.6649475	0.891812237	0.942423515	0.993506194	1.045366631	1.097753939	1.150270129	1.203092795	1.255450089	1.307625012
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.3111	-0.0017305				
					0.3112	-0.023246865				
					0.3113	-0.00108179				
					0.3114	-0.000736808				
					0.3115	-0.000388418				
					0.3116	-3.92579E-05				
					0.3117	0.000322897				
					0.3118	0.000675076				
					0.3119	0.001026249				
										
SC-14										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1501	0.1502	0.1503	0.1504	0.1505	0.1506	0.1507	0.1508	0.1509
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.978021532	0.978377553	0.978587963	0.978697231	0.978938774	0.979207914	0.979446612	0.979753155	0.980020483
2	1.871765887	0.977222456	0.977670889	0.978172039	0.978592721	0.979096347	0.979730196	0.980096366	0.980746661	0.981365249
3	2.560809617	0.982623927	0.983681304	0.984568624	0.985100008	0.986175921	0.987076592	0.988101439	0.989007519	0.98991104
4	3.503507537	0.991778495	0.993250309	0.994778985	0.995882414	0.997525263	0.998792901	1.000310297	1.001855931	1.003199673
5	4.793236085	1.000373621	1.002344316	1.004582564	1.006812981	1.009041912	1.010884508	1.013117239	1.015326224	1.017424688
6	6.557745895	1.005964472	1.008910585	1.012276953	1.015330863	1.01867568	1.0214193	1.02475445	1.027905577	1.031372398
7	8.971815795	1.008317244	1.012727752	1.017439576	1.021691004	1.026641736	1.030667423	1.03529889	1.039769071	1.044752464
8	12.27456506	1.007158102	1.013659775	1.020144908	1.026202054	1.03315161	1.038965751	1.045677724	1.052132616	1.058869612
9	16.79313875	1.00251821	1.011669994	1.021091237	1.029806303	1.039072246	1.047400076	1.056706592	1.066029827	1.07522845
10	22.97511217	0.994307849	1.007165322	1.020023595	1.032607108	1.045344594	1.057486838	1.070163856	1.082850628	1.096041137
11	31.43282426	0.981680213	0.999584892	1.017061165	1.034766019	1.052528787	1.069526868	1.087238314	1.104908264	1.122881166
12	43.00403122	0.963803387	0.988152819	1.012265567	1.036878941	1.06128519	1.08551488	1.109619921	1.13422082	1.158521509
13	58.8348882	0.938453999	0.971870955	1.004980383	1.039132906	1.073008783	1.106250543	1.139918665	1.173772895	1.206840932
14	80.49347866	0.903232271	0.949187331	0.995007359	1.042101018	1.088528387	1.13453924	1.180449188	1.227084105	1.27247911
15	110.1251367	0.855605768	0.918206811	0.980931645	1.045636167	1.109702638	1.172953796	1.235983499	1.299306108	1.360846202
16	150.6649475	0.790896606	0.876104242	0.96252762	1.050367589	1.137938161	1.225142555	1.311255892	1.396260896	1.478966742
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1501	-0.001596188				
					0.1502	-0.02161096				
					0.1503	-0.000453974				
					0.1504	0.000116711				
					0.1505	0.000696489				
					0.1506	0.001287346				
					0.1507	0.001856752				
					0.1508	0.002391594				
					0.1509	0.002913692				
										
SC-24										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1358	0.1359	0.136	0.1361	0.1362	0.1363	0.1364	0.1365	0.1366
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.057587682	1.05785846	1.057886561	1.058033573	1.058358333	1.058435154	1.058598056	1.058740429	1.059078133
2	1.871765887	1.100153275	1.100800627	1.10108246	1.10161853	1.10217609	1.102318614	1.10288546	1.10325973	1.104040548
3	2.560809617	1.130339554	1.131310423	1.13199098	1.133010409	1.134041273	1.134486398	1.135596972	1.136174513	1.137392976
4	3.503507537	1.149706375	1.151271459	1.152950514	1.154215704	1.155664205	1.157122658	1.158754766	1.159990147	1.161800717
5	4.793236085	1.160412466	1.162824837	1.165503935	1.167706121	1.170036066	1.172370678	1.174665894	1.176971696	1.179637047
6	6.557745895	1.164690527	1.168619152	1.172388983	1.175544935	1.179426338	1.182637735	1.186505234	1.18974405	1.193712279
7	8.971815795	1.163842063	1.16939172	1.175051417	1.179907095	1.185839856	1.190838445	1.195846909	1.201121833	1.206787183
8	12.27456506	1.158760496	1.166588219	1.174557294	1.18210298	1.189776138	1.197490486	1.204771143	1.212784233	1.220416036
9	16.79313875	1.149360327	1.160303593	1.171546984	1.182562906	1.193008317	1.204333253	1.214984698	1.22565954	1.236925676
10	22.97511217	1.134942398	1.150584018	1.16590592	1.181465633	1.196231581	1.212349182	1.227139879	1.242102253	1.257980236
11	31.43282426	1.114331539	1.136522385	1.157213789	1.179534853	1.199912005	1.222466933	1.243677004	1.264282965	1.286332321
12	43.00403122	1.085826463	1.116310006	1.1450061	1.176176859	1.205029175	1.235732544	1.265346058	1.294219269	1.324779984
13	58.8348882	1.046982126	1.088864226	1.128433009	1.171651062	1.212000946	1.254195893	1.295421427	1.335100595	1.377381018
14	80.49347866	0.994755349	1.050906813	1.106620755	1.165231353	1.221616926	1.278710086	1.335597124	1.391564652	1.448496547
15	110.1251367	0.923017496	1.000042183	1.076558002	1.156620438	1.233860715	1.312953673	1.390820202	1.467701806	1.544446621
16	150.6649475	0.828041871	0.93081216	1.035459828	1.14421959	1.251589365	1.35917993	1.466296868	1.570779845	1.673671637
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.1358	-0.002342774				
					0.1359	-0.022960447				
					0.136	-0.001013773				
					0.1361	-0.000305893				
					0.1362	0.000437315				
					0.1363	0.001140268				
					0.1364	0.001861791				
					0.1365	0.002542637				
					0.1366	0.003187608				
										
SC-34										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.1754	0.1755	0.1756	0.1757	0.1758	0.1759	0.176	0.1761	0.1762
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.063425384	1.063489288	1.063682475	1.063820911	1.063983113	1.064003455	1.064167366	1.064353509	1.064416586
2	1.871765887	1.110260332	1.110507861	1.110992277	1.111453479	1.111861855	1.112086956	1.112353619	1.112711365	1.113183329
3	2.560809617	1.141198152	1.141663665	1.142476587	1.1434916	1.144104554	1.14454021	1.14524362	1.146012372	1.146756514
