BCC-1										
	s^σ	s^(τ-2)*(P≥s)								
12	43.00403122	1.146116647	1.153098075	1.158872307	1.164551272	1.170564701	1.177877752	1.185473961	1.189554532	1.195484374
13	58.8348882	1.134861456	1.144143894	1.152568844	1.160451117	1.169007298	1.178185911	1.188202089	1.194690671	1.203638062
14	80.49347866	1.119100423	1.131693075	1.143383007	1.154988485	1.166641034	1.178704174	1.192343531	1.201684995	1.214219347
15	110.1251367	1.097771109	1.114854311	1.130705429	1.146891362	1.163069683	1.179384124	1.197811632	1.212281665	1.228862873
16	150.6649475	1.068737642	1.091622358	1.114006201	1.136044146	1.158148296	1.180636195	1.205259298	1.225738184	1.248614409
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06017	-0.000716172				
					0.06018	-0.02692717				
					0.06019	-0.000411922				
					0.0602	-0.000267569				
					0.06021	-0.000121396				
					0.06022	3.0885E-05				
					0.06023	0.000183712				
					0.06024	0.000331933				
					0.06025	0.000487213				
										
BCC-134										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.05418	0.05419	0.0542	0.05421	0.05422	0.05423	0.05424	0.05425	0.05426
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.041587924	1.041664777	1.041694107	1.041830578	1.041811042	1.042137991	1.042123697	1.042060189	1.042151154
2	1.871765887	1.086737927	1.086784946	1.086878065	1.087073372	1.087246968	1.087446026	1.087673814	1.087590016	1.087538928
3	2.560809617	1.120120103	1.120323822	1.120736011	1.120725234	1.121340675	1.121045228	1.12173685	1.121784286	1.121589373
4	3.503507537	1.141940878	1.142477344	1.143039936	1.143244889	1.143892178	1.143709113	1.144741628	1.144698521	1.144836419
